Date,Price
1/7/2015,505.14999400000005
9/5/2014,597.780029
3/14/2012,308.303314
3/8/2013,416.176178
10/29/2014,558.450012
6/23/2011,240.35035699999997
6/30/2014,584.669983
6/7/2011,259.77477999999996
1/26/2012,284.33432
11/6/2012,341.201202
11/2/2015,747.73999
6/8/2011,259.844849
7/29/2014,593.950012
10/30/2014,560.27002
4/7/2015,544.8599849999999
2/19/2013,403.828827
8/26/2013,433.62863200000004
2/22/2013,400.25524900000005
1/17/2014,575.84082
2/10/2015,540.159973
6/18/2015,556.179993
5/7/2015,542.039978
11/26/2014,547.72998
12/1/2011,307.1922
5/14/2013,443.993988
2/22/2012,304.27426099999997
5/23/2012,305.035034
12/8/2014,530.72998
7/11/2012,285.88088999999997
12/27/2011,320.44543500000003
9/9/2014,591.969971
10/26/2012,337.912903
6/9/2014,570.72998
4/6/2011,287.37737999999996
7/27/2011,303.91391
4/30/2014,534.880005
3/6/2014,610.415405
7/3/2013,443.65866100000005
4/21/2014,539.369995
11/30/2012,349.534546
6/25/2012,280.630646
4/17/2015,532.73999
9/28/2011,264.684692
12/10/2012,343.05304
6/28/2013,440.62564100000003
1/3/2014,553.05304
5/13/2014,541.539978
11/10/2014,558.22998
10/17/2012,378.123108
3/19/2012,317.307312
3/30/2015,561.1400150000001
10/19/2011,290.640656
9/7/2012,353.428436
2/4/2014,569.649658
2/26/2015,559.289978
10/10/2013,434.554565
7/12/2011,267.272278
7/14/2011,264.73474100000004
4/29/2011,272.32232700000003
8/23/2012,338.738739
8/5/2014,573.1400150000001
12/10/2014,528.039978
3/30/2011,291.211212
12/20/2012,361.541534
7/2/2015,547.340027
4/20/2011,263.128143
7/25/2012,304.299286
2/25/2013,395.780792
1/30/2012,289.134125
12/3/2012,347.972961
2/5/2015,529.830017
8/8/2012,321.43643199999997
9/28/2015,624.25
9/17/2013,443.49850499999997
5/10/2011,271.60159300000004
6/1/2015,549.210022
1/29/2014,554.014038
3/15/2011,285.065063
10/4/2011,251.201202
4/3/2012,321.631622
9/24/2014,598.419983
8/19/2011,245.705704
3/26/2013,406.616608
6/10/2015,552.599976
1/6/2012,325.335327
9/5/2012,340.700714
1/30/2015,537.549988
1/28/2015,512.429993
10/26/2015,731.119995
7/23/2015,674.72998
3/24/2014,579.544556
12/9/2013,539.6096190000001
12/29/2014,537.3099980000001
12/14/2012,351.331329
3/13/2013,413.068054
2/13/2012,306.40640299999995
10/10/2011,268.85385099999996
11/29/2012,346.29129
9/21/2011,269.869873
1/20/2011,313.6987
11/7/2014,551.820007
4/8/2015,548.840027
10/20/2015,680.0
3/28/2012,328.208221
4/18/2013,383.338348
4/13/2015,548.6400150000001
9/11/2015,655.299988
9/4/2013,436.25125099999997
5/2/2012,303.933929
7/31/2013,444.319305
1/31/2014,591.07605
10/24/2011,298.508514
1/26/2015,536.719971
7/20/2012,305.715729
10/29/2015,744.849976
10/11/2011,271.861847
1/6/2015,506.64001500000006
5/21/2012,307.362366
1/11/2012,313.293304
7/18/2011,297.767761
5/31/2012,290.720734
8/25/2011,260.280273
1/18/2012,316.771759
10/28/2014,558.9400019999999
6/16/2014,552.299988
7/5/2013,447.1922
3/28/2011,287.96795699999996
2/25/2015,547.330017
7/22/2013,455.805817
7/29/2015,661.429993
9/17/2012,355.34533700000003
8/11/2014,577.25
12/8/2015,775.1400150000001
2/10/2014,587.052063
