Date,Price
1/3/2006,217.83284
1/4/2006,222.84285
1/5/2006,225.84583999999998
1/6/2006,233.063065
1/9/2006,233.683685
1/10/2006,235.115112
1/11/2006,236.05105600000002
1/12/2006,232.04704300000003
1/13/2006,233.35835299999997
1/17/2006,233.78878799999998
1/18/2006,222.677673
1/19/2006,218.44345099999998
1/20/2006,199.929932
1/23/2006,213.963959
1/24/2006,221.73674
1/25/2006,
1/26/2006,217.35235600000001
1/27/2006,216.96196
1/30/2006,213.623627
1/31/2006,216.54653900000002
2/1/2006,201.091095
2/2/2006,198.21821599999998
2/3/2006,190.965973
2/6/2006,192.742737
2/7/2006,184.14415
2/8/2006,184.72473100000002
2/9/2006,179.56456
2/10/2006,181.486481
2/13/2006,173.023026
2/14/2006,171.83183300000002
2/15/2006,171.36135900000002
2/16/2006,183.413406
2/17/2006,184.55955500000002
2/21/2006,183.478485
2/22/2006,182.927933
2/23/2006,189.224228
2/24/2006,188.88888500000002
2/27/2006,195.385391
2/28/2006,181.491486
3/1/2006,182.582581
3/2/2006,188.413406
3/3/2006,189.279282
3/6/2006,184.23423799999998
3/7/2006,182.40741
3/8/2006,177.11711100000002
3/9/2006,171.671677
3/10/2006,168.918915
3/13/2006,168.6987
3/14/2006,175.755753
3/15/2006,172.422424
3/16/2006,169.55455
3/17/2006,170.06506299999998
3/20/2006,174.269272
3/21/2006,170.13012700000002
3/22/2006,170.280273
3/23/2006,171.116119
3/24/2006,183.083084
3/27/2006,185.030029
3/28/2006,188.78878799999998
3/29/2006,197.68768300000002
3/30/2006,194.414413
3/31/2006,195.19519
4/3/2006,195.045044
4/4/2006,202.372375
4/5/2006,204.199203
4/6/2006,205.795792
4/7/2006,203.283279
4/10/2006,208.398392
4/11/2006,205.035034
4/12/2006,204.679672
4/13/2006,201.281281
4/17/2006,203.613617
4/18/2006,202.322327
4/19/2006,205.45546000000002
4/20/2006,207.707703
4/21/2006,218.76876800000002
4/24/2006,220.47047400000002
4/25/2006,213.79379300000002
4/26/2006,213.198196
4/27/2006,210.22522
4/28/2006,209.17918400000002
5/1/2006,199.649643
5/2/2006,197.59759499999998
5/3/2006,197.282288
5/4/2006,197.57257099999998
5/5/2006,197.347351
5/8/2006,197.58758500000002
5/9/2006,204.604599
5/10/2006,201.691696
5/11/2006,193.693695
5/12/2006,187.252258
5/15/2006,188.288284
5/16/2006,185.835831
5/17/2006,187.43743899999998
5/18/2006,185.680679
5/19/2006,185.19519
5/22/2006,185.66066
5/23/2006,187.977982
5/24/2006,190.815811
5/25/2006,191.686691
5/26/2006,190.86586
5/30/2006,186.156158
5/31/2006,186.0961
6/1/2006,191.501495
6/2/2006,189.90991200000002
6/5/2006,187.40741
6/6/2006,195.190186
6/7/2006,193.448456
6/8/2006,196.846848
6/9/2006,193.478485
6/12/2006,190.96096799999998
6/13/2006,
6/14/2006,192.38738999999998
6/15/2006,195.695694
6/16/2006,195.545547
6/19/2006,194.264267
6/20/2006,193.77877800000002
6/21/2006,201.266266
6/22/2006,200.175171
6/23/2006,202.632629
6/26/2006,202.31231699999998
6/27/2006,201.36135900000002
6/28/2006,203.258255
6/29/2006,209.11411999999999
6/30/2006,209.87487799999997
7/3/2006,211.811813
7/5/2006,210.940948
7/6/2006,211.80680800000002
7/7/2006,210.43544
7/10/2006,209.309311
7/11/2006,212.49249300000002
7/12/2006,208.833832
7/13/2006,204.61961399999998
7/14/2006,201.95195
7/17/2006,204.149155
7/18/2006,201.72673
7/19/2006,199.69970700000002
7/20/2006,193.75375400000001
7/21/2006,195.25024399999998
7/24/2006,195.645645
7/25/2006,194.874878
7/26/2006,192.942947
7/27/2006,191.39138799999998
7/28/2006,194.254257
7/31/2006,193.4935
8/1/2006,187.942947
8/2/2006,183.798798
8/3/2006,187.88288899999998
8/4/2006,187.112106
8/7/2006,189.164169
8/8/2006,190.690689
8/9/2006,188.65866100000002
8/10/2006,187.28729199999998
8/11/2006,184.434433
8/14/2006,184.899902
8/15/2006,190.675674
8/16/2006,194.054047
8/17/2006,193.093094
8/18/2006,191.871872
8/21/2006,188.838837
8/22/2006,189.334335
8/23/2006,186.901901
8/24/2006,187.05204799999998
8/25/2006,186.81681799999998
8/28/2006,190.665665
8/29/2006,189.664658
8/30/2006,190.565567
